-1340,-1152,-760,-932,-184,1016,4088,-19924,-23520,32767,32767,24760,31088,32767,21756,-21244,-13508,-3188,-884,-1276
-2412,-1976,-2156,-1708,-1944,-2204,-5924,-8932,4676,17564,7552,1992,1804,6432,19428,-3908,1000,416,-1536,-400
-12092,-11696,-11564,-11452,-11140,-9700,-11256,-32768,-32768,-32768,-2840,19820,21840,-6224,-32768,-32768,-32072,-11768,-11672,-12160
968,165,473,90,1,-1268,-582,11240,32767,32767,3219,-10957,-9805,-11175,8492,-16609,-9170,-1797,-439,-993
-610,17,-92,608,697,2161,6774,15253,-32768,-32768,-32768,-22164,8963,32767,32767,32767,15903,-8354,-167,1496
427,-557,-130,-339,145,917,7157,-1055,-8892,-7834,2072,10103,14452,32767,32767,4539,-13336,-3302,50,-3320
2,104,206,307,410,511,612,715,816,919,1020,1122,1224,1326,1428,1529,1631,1733,1835,1936
244,404,516,208,1120,4748,-32768,-6012,32767,24360,27380,24432,32752,29504,-32768,-24780,-5872,1820,620,-492
-1472,-1568,-1664,-1540,-640,-4836,3272,12344,18512,5544,4424,3240,8316,19292,18200,3092,944,-136,496,1016
-12132,-12060,-12284,-12256,-9792,-14460,-32768,-32768,-26044,7832,18664,24632,4852,-32768,-32768,-30136,-14148,-11372,-12932,-12792
-525,-482,-417,-568,-1086,3127,16653,32767,16322,27729,11509,-6002,-21198,-1036,-4689,-11501,-13746,-448,19,-717
-554,440,806,1005,-358,3255,15631,-32768,-32768,-32768,-5412,7697,23982,32767,32767,6998,-1684,2395,2584,714
444,770,2642,1646,4088,5513,7319,-25219,-9035,-7852,-2791,7932,29025,32767,8905,-6822,-13794,-1338,941,6
2,104,205,307,409,511,613,714,817,918,1019,1122,1223,1326,1427,1529,1631,1732,1835,1936
-48,-44,524,716,1268,660,-32768,2048,32767,32767,30460,31540,30412,-32768,-31132,-4896,1252,948,960,124
1724,1904,2632,3400,3404,-1104,3076,30172,32767,-4452,2168,6572,23436,32767,15972,5824,1724,3168,3880,4160
-12180,-12144,-11648,-11900,-10632,-11520,-32768,-32768,-20848,10332,21116,10996,-28512,-32768,-32768,-16300,-12016,-12016,-11604,-11804
-462,-22,-180,280,-920,-1822,18408,32767,18567,8076,-2391,-20199,-10134,-6380,-15776,-9288,-1994,972,1186,-1050
434,84,-403,-29,224,5047,8304,-32768,-32768,-10142,10282,24258,32767,32767,14043,3173,-65,860,2848,35
814,1149,2201,2602,3197,4222,1025,-32768,-3042,-13569,52,25634,32767,32767,10631,-12235,-2640,-1632,-2350,637
1,104,205,307,409,510,612,714,816,918,1020,1121,1223,1325,1427,1529,1630,1733,1834,1937
984,912,972,876,1336,1960,-1704,-32768,32767,32767,32767,19588,29872,27252,-28692,-16228,-2524,-1188,1584,2132
4112,4192,4480,4576,3664,2140,5088,12104,32767,32767,10144,7844,11860,22928,1816,-636,1120,1300,1236,2928
-11752,-12004,-11520,-11468,-11236,-11608,-15456,-32768,-32768,-29200,23944,25932,2724,-32768,-32768,-30828,-13768,-12012,-14396,-12464
89,-15,-362,-686,-404,2742,5593,22138,32767,29344,118,-10211,-25866,-17016,-32243,9583,-4280,448,-1055,580
59,103,-31,-279,1955,1043,5921,-16238,-32768,-32768,-15249,9712,23418,32767,32767,14949,-7662,5315,-2374,-922
279,182,945,1389,1980,8555,9833,-32768,-29874,-9034,-633,10205,32767,32767,18028,82,-2872,-6569,-1731,-1397
1,103,204,307,408,511,612,713,816,917,1020,1121,1223,1325,1427,1528,1630,1732,1834,1936
2424,2588,2480,2376,2432,3012,3180,-2352,-32768,23956,32767,32767,20184,32767,31860,-21308,-19468,-4584,4920,480
2824,2908,3048,2976,2728,1048,2600,6656,18520,32767,32767,2784,6680,13404,32767,9924,10628,6688,524,1292
-12676,-13288,-13144,-12900,-12576,-12136,-13808,-17952,-32768,-32768,-28764,18588,26576,8896,-32768,-32768,-32768,-13440,-10768,-13748
275,-144,-251,-470,-829,-1203,494,5468,22604,32767,31420,12992,-9634,-25626,-17099,-7141,-5463,2634,-205,-1879
-50,636,190,386,-38,963,-2428,1986,-8999,-32768,-32768,4792,4760,23322,32767,32767,6360,-4066,336,-390
129,-87,152,322,237,6387,13687,7326,-14351,-32768,-9574,1612,3945,29423,32767,24778,2834,-6233,-1749,634
2,104,205,307,409,511,612,715,816,919,1020,1121,1224,1325,1428,1529,1631,1733,1834,1937
1944,1840,1916,1840,2248,2340,3640,5268,-32768,5792,32767,32767,16012,32767,24708,-19292,-17724,-6024,-2272,3372
3620,3704,3680,3704,3636,3828,2872,-1076,28864,32767,32767,14856,13112,12928,29884,14436,4352,3576,1272,1912
