6968,12528,17664,15256,3464,8224,9580,22792,32767,32767,32767,25564,11680,7176,4076,3124,124,888,2152,3196
-22880,-32768,-29100,-25020,-13112,-29696,-32768,-32768,-32768,-32768,-22948,-10676,-10896,-11968,-11120,-13092,-14936,-12572,-12708,-11668
4446,15213,3894,-27742,-15513,-26609,-6363,32767,32767,32767,14230,-3836,-11832,-24160,-12050,-20681,-12439,-6601,-3590,220
2948,-32768,-32768,-32768,-31384,-15249,24172,32767,32767,-17482,4943,-16341,567,8513,13932,10616,16772,5191,4860,2592
-17231,-25741,-32768,-32768,-32768,-16964,32767,32767,32767,7451,-7199,6837,-17883,-22910,-21579,-19616,-18294,-11377,-7555,-4550
2,103,205,307,408,511,612,714,816,918,1019,1121,1223,1325,1427,1528,1631,1732,1835,1936
2496,2712,1924,2056,-3900,-32768,-1080,25364,28836,32767,29396,32767,32767,7272,12528,12296,9264,7288,4476,-2308
3120,3056,2836,3104,6176,15996,32767,27828,896,6916,8704,13732,32767,32767,32767,23708,19420,13904,6716,2268
-13240,-13008,-13196,-12612,-13404,-32768,-32768,-32768,-23900,-24496,-32468,-32768,-32768,-32768,-14224,-11016,-10072,-10184,-18200,-15420
-91,212,455,657,160,412,4099,-32768,-28201,-18799,-17857,20960,32767,32767,32767,-3582,984,-16019,-32768,-19748
134,756,-369,-34,2046,-25206,-32768,-32768,-32768,-20033,10390,32767,32767,-32768,-9127,-3211,2653,12760,3745,19377
-89,-286,-528,-454,645,-20239,-32768,-32768,-32768,-9385,29735,32767,32767,5886,-7924,-3802,-14400,-32768,-26657,-29573
2,104,205,307,409,511,612,715,816,919,1020,1121,1224,1325,1428,1529,1631,1733,1834,1936
-1684,-4840,-7808,-9960,-6880,-5636,-4720,-4448,-6168,-24112,-32768,25628,28304,29412,32767,32767,32767,26148,12404,5132
3692,3392,3884,5228,3728,2880,3296,3096,3652,6524,6756,20504,-200,-2200,-2684,32767,32767,32767,32767,13460
5492,-368,-6140,-7144,-6944,-8328,-8148,-7512,-7428,-15060,-32768,-32768,-20156,-7788,-32768,-32768,-32768,-32768,-20044,-9108
2990,4256,6254,4578,-1386,-1965,-2727,-1535,-4673,-4749,20290,-17340,-32768,-8713,-26483,32767,32767,32767,-4003,-16942
12357,21371,21704,12688,2522,866,-229,708,3266,-2889,-32768,-32768,-32768,-18613,20917,32767,32767,-16385,-1115,3071
-4771,-3825,3406,-944,-2618,-2723,-3090,-4302,-7635,-15771,-32768,-12529,-32768,-1491,29692,32767,32767,17225,-24191,-15176
2,103,204,307,408,511,612,714,816,917,1020,1121,1223,1325,1427,1528,1630,1732,1834,1936
1692,1896,1720,1464,1344,-424,-32768,-23084,10868,15276,32767,32767,32767,32767,-7240,16740,8560,14412,10288,3100
3760,3700,3744,3828,3896,5308,14584,32767,32767,-1388,11996,9596,32767,32767,32767,18156,16808,17852,1080,-12620
-11796,-12324,-12268,-11924,-12668,-12072,-29728,-32768,-32768,-31144,-32768,-32768,-32768,-32768,16776,12980,9140,-9068,1708,-1408
8,-170,-198,38,187,-124,1721,5567,-32768,-32768,-32768,1834,32767,32767,27627,-9516,-3035,1662,4494,-16144
86,193,-89,208,347,-521,99,-32768,-32768,-25171,-32768,32767,32767,-32768,32767,3812,7730,11894,24794,28192
-401,343,517,240,435,660,-23640,-32768,-32768,-32768,-23975,32767,32767,32767,10447,-8451,-11245,-32768,-32768,-18489
1,104,205,307,409,511,613,714,816,918,1020,1121,1224,1325,1428,1529,1630,1733,1834,1937
1724,1084,-1396,-31260,-18184,18148,22188,32767,32767,32767,32767,6436,32272,10072,10300,8860,7768,3220,15184,2836
-1696,-2076,272,10640,31464,32767,-10136,2456,7932,17400,32767,32767,32767,29380,12548,19936,20824,-376,-15152,-20716
-12604,-12880,-13904,-30916,-32768,-32768,-32768,-25940,-32768,-32768,-32768,-19552,-3264,10800,7000,5376,-8692,2772,-4064,-23412
464,988,2134,-615,4730,-32768,-32768,-6418,-17388,4138,32767,32767,-15035,-22528,-4242,-6273,-2628,-8404,-32768,-32768
-1316,-1121,2366,-5400,-32768,-32768,-32768,-31984,5492,32767,32767,-10835,-12106,-4478,3043,-846,5441,19647,32767,32767
3070,4396,7709,10656,-24582,-32768,-32768,-24243,21312,32767,32767,32767,32767,-11948,-3554,-20308,-32768,-32768,-27931,-21972
1,103,204,307,408,511,612,713,816,917,1020,1121,1223,1325,1426,1529,1630,1732,1834,1936
9916,9452,8060,6860,692,-18452,-22672,11676,22240,32767,30164,32767,32767,32767,15104,11680,12216,3340,-1196,752
-3512,-5236,-5384,-4652,-2300,-1772,12816,25600,-4732,2524,13060,15252,32767,32767,32767,18664,12032,6592,2404,-4680
-11764,-12276,-14168,-13668,-15192,-32768,-32768,-32768,-29816,-20976,-32768,-32768,-32768,-32768,-5364,-2476,-7528,-10652,-10632,-14400
2409,-1265,1600,-537,-25,1498,-1612,-32768,-32768,-9855,-32768,32767,32767,-32768,29633,-6931,-490,-4432,-12882,-29193
-4671,-671,740,-3163,-8347,-32768,-32768,-32768,-28668,-28999,12153,32767,32767,-32768,-2777,6248,12744,8082,16057,10679
28,-60,3139,-350,2547,-1686,-19462,-32768,-32768,-10840,32767,32767,32767,-32768,6385,-7727,-31740,-31225,-32768,-32768
1,104,205,307,409,510,613,714,816,918,1020,1122,1223,1325,1427,1529,1630,1733,1834,1936
5212,4372,4140,4620,5200,4900,-15652,-32768,30428,26764,32208,32767,32767,5604,32767,14584,9656,8208,4096,192
-1588,-1336,-1344,-1804,-2056,-1088,-1112,32767,32767,5628,-252,15180,32767,32767,32767,28208,15576,10780,7984,10172
-14500,-14008,-13612,-13744,-14360,-14552,-32536,-32768,-32768,-24172,-30464,-32768,-32768,-32768,-23116,-12548,-8784,-9524,-12068,-12268
144,2168,1471,-240,-522,291,-3011,32767,-32768,-32768,-16488,-2198,32767,32767,29511,8536,-7333,-17568,-13798,-20151
-4277,2597,924,577,-774,-1562,-5904,-32768,-32768,-26182,3456,32767,32767,-32768,-32768,-29305,1166,12174,21156,21298
